Date,Close,High,Low,Open,Volume,MA5,MA20,RSI14
2025-11-06,1451.51220703125,1466.3741067619453,1451.51220703125,1456.4661736081484,27411394,1474.300390625,1454.9799011230468,57.24682605373449
2025-11-07,1446.5582275390625,1451.5121940717304,1441.6042610063944,1446.5582275390625,20329390,1466.3740478515624,1457.2091918945312,56.03740781980883
2025-11-10,1461.4200439453125,1471.3279764466367,1451.5121114439883,1456.4660776946505,25281744,1459.4385009765624,1458.9430847167969,58.846307799668594
2025-11-11,1451.51220703125,1481.2360064926409,1451.51220703125,1476.2820399157424,22444166,1451.5121826171876,1461.4200744628906,56.26532303814892
2025-11-12,1461.4200439453125,1471.3279764466367,1446.5581451933263,1456.4660776946505,23642502,1454.4845458984375,1463.8970581054687,58.23789686470595
2025-11-13,1446.5582275390625,1456.4661606043985,1446.5582275390625,1446.5582275390625,21255597,1453.49375,1463.6493591308595,54.28288330341302
2025-11-14,1416.834228515625,1426.7421601835663,1411.8802626816541,1411.8802626816541,26861702,1447.5489501953125,1460.9246704101563,47.356007451884274
2025-11-17,1431.6962890625,1446.5581882569204,1431.6962890625,1436.6502554606402,26602730,1441.60419921875,1460.6769714355469,50.74069984164946
2025-11-18,1392.0645751953125,1421.788373953931,1392.0645751953125,1421.788373953931,42198432,1429.7146728515625,1456.9614990234375,42.83227427185891
2025-11-19,1382.156494140625,1401.9723578559028,1382.156494140625,1387.1104600694443,35591948,1413.861962890625,1452.7506225585937,41.10729508401299
2025-11-20,1441.6041259765625,1446.5580920452105,1426.7422277706185,1436.6501599079145,25964403,1412.871142578125,1452.5029174804688,53.26795631373268
2025-11-21,1372.24853515625,1392.064398479806,1372.24853515625,1382.1564668180279,54518246,1403.95400390625,1449.2828308105468,42.29514709140908
2025-11-24,1362.3406982421875,1392.0644952947443,1362.3406982421875,1387.1105291193182,79134658,1390.0828857421875,1444.0811645507813,40.9959506793036
2025-11-25,1401.972412109375,1411.8803443504307,1392.0644798683193,1411.8803443504307,27427405,1392.064453125,1441.1087829589844,47.89111669159913
2025-11-26,1426.7421875,1426.7421875,1411.8802897135415,1416.834255642361,29213211,1400.981591796875,1437.8887023925781,51.690875047344804
2025-11-27,1421.7882080078125,1441.6040715340537,1416.834242126252,1436.6501056524935,22039774,1397.018408203125,1434.4209228515624,50.891580282571226
2025-11-28,1426.7421875,1441.6040852864583,1421.7882215711804,1426.7421875,23152513,1407.917138671875,1431.44853515625,51.69596020348742
